"Type","Name","Id","Path"
"UMLSequenceDiagram","agregar empleado","AAAAAAGdfvNajAj04/w=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/empleados/agregar empleado"
"UMLCollaboration","editar empleado","AAAAAAGdg06z6BxwYHM=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/empleados"
"UMLCollaboration","eliminar empleado","AAAAAAGdg1e0QCYwRAU=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/empleados"
"UMLInteraction","editar empleado","AAAAAAGdg06z6BxxUE4=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/empleados"
"UMLSequenceDiagram","editar empleado","AAAAAAGdg06z6BxyFMU=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/empleados/editar empleado"
"UMLInteraction","eliminar empleado","AAAAAAGdg1e0QCYx6Vo=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/empleados"
"UMLSequenceDiagram","eliminar empleado","AAAAAAGdg1e0QCYygAc=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/empleados/eliminar empleado"
"UMLCollaboration","sucursales","AAAAAAGdg5LwkT8R9p0=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras"
"UMLInteraction","agregar sucursal","AAAAAAGdg5LwkT8SvnI=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/sucursales"
"UMLSequenceDiagram","agregar sucursal","AAAAAAGdg5LwkT8Tw/0=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/sucursales/agregar sucursal"
"UMLCollaboration","editar sucursal","AAAAAAGdg6yMi0en29Y=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/sucursales"
"UMLCollaboration","eliminar sucursal","AAAAAAGdg6yjYk/ewpw=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/sucursales"
"UMLInteraction","editar sucursal","AAAAAAGdg6yMi0eoo5g=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/sucursales"
"UMLSequenceDiagram","editar sucursal","AAAAAAGdg6yMi0ep3ns=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/sucursales/editar sucursal"
"UMLInteraction","eliminar sucursal","AAAAAAGdg6yjYk/fXVQ=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/sucursales"
"UMLSequenceDiagram","eliminar sucursal","AAAAAAGdg6yjYk/gO+M=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/sucursales/eliminar sucursal"
"UMLCollaboration","usuarios","AAAAAAGdg/FyFYmc4kk=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras"
"UMLInteraction","agregar usuario","AAAAAAGdg/FyFYmdoNI=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/usuarios"
"UMLSequenceDiagram","agregar usuario","AAAAAAGdg/FyFYmeazc=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/usuarios/agregar usuario"
"UMLCollaboration","editar usuario","AAAAAAGdhArsYpMzlwE=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/usuarios"
"UMLCollaboration","eliminar usuario","AAAAAAGdhAr48ZwlTRQ=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/usuarios"
"UMLInteraction","editar usuario","AAAAAAGdhArsYpM0mII=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/usuarios"
"UMLSequenceDiagram","editar usuario","AAAAAAGdhArsYpM1oCQ=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/usuarios/editar usuario"
"UMLInteraction","eliminar usuario","AAAAAAGdhAr48Zwmoiw=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/usuarios"
"UMLSequenceDiagram","eliminar usuario","AAAAAAGdhAr48ZwnAjg=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/usuarios/eliminar usuario"
"UMLCollaboration","clientes","AAAAAAGdiWEvtVnqjNE=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras"
"UMLInteraction","agregar cliente","AAAAAAGdiWEvtVnrTK0=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/clientes"
"UMLSequenceDiagram","agregar cliente","AAAAAAGdiWEvtVnssak=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/clientes/agregar cliente"
"UMLInteraction","editar cliente","AAAAAAGdjoOisbneCc4=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/clientes"
"UMLSequenceDiagram","editar cliente","AAAAAAGdjoOisbnf4ps=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/clientes/editar cliente"
"UMLInteraction","eliminar cliente","AAAAAAGdjoocK8SA3Ew=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/clientes"
"UMLSequenceDiagram","eliminar cliente","AAAAAAGdjoocK8SBd64=","/taller_analisis/Diagramas/Diagrama de Secuencia/Mantener referenciales/Compras/clientes/eliminar cliente"
